move,win,draw,lose,centipawns,moves_to_force_mate,best_line_1_move,best_line_1_centipawns,best_line_1_moves_to_force_mate,best_line_2_move,best_line_2_centipawns,best_line_2_moves_to_force_mate,best_line_3_move,best_line_3_centipawns,best_line_3_moves_to_force_mate,game_id,move_number
h7h8,1.0,0.0,0.0,,4.0,h7h8,,4.0,h7g8,,2.0,h7g8,,2.0,110,59
h4g6,0.0,0.0,1.0,,3.0,c7e8,,4.0,f5g5,,4.0,h4g6,,4.0,110,60
h8g8,1.0,0.0,0.0,,2.0,h8h7,,3.0,h8g8,,2.0,h8g8,,2.0,110,61
f5f7,0.0,0.0,1.0,,1.0,f5f7,,2.0,c7e8,,3.0,d7g7,,4.0,110,62
g8h7,1.0,0.0,0.0,,1.0,g8h7,,1.0,g8h7,,1.0,g8h7,,1.0,110,63
f7g7,,,,,0.0,f7g7,,1.0,c7e8,,2.0,g6f8,,2.0,110,64
e2e4,0.02,0.9,0.08,33.0,,e2e4,44.0,,d2d4,33.0,,g1f3,24.0,,111,0
g8f6,0.191,0.801,0.008,80.0,,c7c5,32.0,,e7e5,43.0,,e7e6,52.0,,111,1
e4e5,0.006,0.779,0.215,87.0,,e4e5,109.0,,b1c3,19.0,,d2d3,-10.0,,111,2
f6d5,0.294,0.702,0.004,105.0,,f6d5,87.0,,f6g8,106.0,,f6e4,145.0,,111,3
d2d4,0.006,0.763,0.231,90.0,,d2d4,84.0,,c2c4,75.0,,g1f3,75.0,,111,4
d7d6,0.254,0.741,0.005,95.0,,d7d6,84.0,,d5b6,131.0,,e7e6,151.0,,111,5
e5d6,0.007,0.804,0.189,78.0,,c2c4,102.0,,g1f3,65.0,,e5d6,62.0,,111,6
e7d6,0.175,0.818,0.007,74.0,,e7d6,57.0,,c7d6,67.0,,c8f5,85.0,,111,7
c2c4,0.012,0.873,0.115,52.0,,g1f3,72.0,,h2h3,48.0,,f1e2,44.0,,111,8
d5b6,0.24,0.755,0.005,90.0,,d5e7,49.0,,d5f6,75.0,,d5b6,75.0,,111,9
